image_path,image_R,image_G,image_B,image_S1,image_S2,image_S3,image_S4,image_S5,image_S6,image_S7,label,case
D:\Github\RGB-S\data\simulation_binary_1//images//00094,D:\Github\RGB-S\data\simulation_binary_1//images//00094_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00094_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00094_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00094_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00094_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00094_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00094_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00094_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00094_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00094_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00095,D:\Github\RGB-S\data\simulation_binary_1//images//00095_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00095_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00095_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00095_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00095_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00095_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00095_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00095_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00095_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00095_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00096,D:\Github\RGB-S\data\simulation_binary_1//images//00096_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00096_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00096_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00096_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00096_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00096_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00096_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00096_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00096_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00096_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00097,D:\Github\RGB-S\data\simulation_binary_1//images//00097_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00097_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00097_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00097_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00097_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00097_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00097_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00097_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00097_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00097_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00098,D:\Github\RGB-S\data\simulation_binary_1//images//00098_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00098_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00098_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00098_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00098_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00098_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00098_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00098_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00098_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00098_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00099,D:\Github\RGB-S\data\simulation_binary_1//images//00099_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00099_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00099_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00099_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00099_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00099_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00099_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00099_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00099_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00099_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00100,D:\Github\RGB-S\data\simulation_binary_1//images//00100_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00100_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00100_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00100_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00100_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00100_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00100_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00100_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00100_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00100_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00101,D:\Github\RGB-S\data\simulation_binary_1//images//00101_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00101_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00101_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00101_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00101_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00101_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00101_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00101_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00101_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00101_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00102,D:\Github\RGB-S\data\simulation_binary_1//images//00102_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00102_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00102_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00102_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00102_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00102_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00102_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00102_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00102_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00102_07.png,1,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//00103,D:\Github\RGB-S\data\simulation_binary_1//images//00103_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00103_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00103_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00103_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00103_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00103_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00103_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00103_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00103_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00103_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00104,D:\Github\RGB-S\data\simulation_binary_1//images//00104_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00104_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00104_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00104_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00104_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00104_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00104_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00104_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00104_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00104_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00105,D:\Github\RGB-S\data\simulation_binary_1//images//00105_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00105_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00105_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00105_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00105_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00105_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00105_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00105_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00105_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00105_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00106,D:\Github\RGB-S\data\simulation_binary_1//images//00106_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00106_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00106_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00106_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00106_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00106_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00106_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00106_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00106_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00106_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00107,D:\Github\RGB-S\data\simulation_binary_1//images//00107_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00107_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00107_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00107_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00107_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00107_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00107_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00107_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00107_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00107_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//00108,D:\Github\RGB-S\data\simulation_binary_1//images//00108_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00108_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00108_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00108_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00108_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00108_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00108_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00108_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00108_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00108_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00109,D:\Github\RGB-S\data\simulation_binary_1//images//00109_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00109_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00109_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00109_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00109_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00109_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00109_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00109_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00109_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00109_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00110,D:\Github\RGB-S\data\simulation_binary_1//images//00110_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00110_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00110_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00110_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00110_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00110_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00110_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00110_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00110_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00110_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//00111,D:\Github\RGB-S\data\simulation_binary_1//images//00111_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00111_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00111_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00111_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00111_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00111_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00111_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00111_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00111_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00111_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00112,D:\Github\RGB-S\data\simulation_binary_1//images//00112_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00112_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00112_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00112_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00112_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00112_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00112_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00112_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00112_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00112_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00113,D:\Github\RGB-S\data\simulation_binary_1//images//00113_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00113_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00113_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00113_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00113_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00113_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00113_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00113_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00113_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00113_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00114,D:\Github\RGB-S\data\simulation_binary_1//images//00114_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00114_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00114_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00114_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00114_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00114_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00114_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00114_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00114_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00114_07.png,1,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//00115,D:\Github\RGB-S\data\simulation_binary_1//images//00115_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00115_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00115_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00115_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00115_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00115_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00115_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00115_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00115_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00115_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00116,D:\Github\RGB-S\data\simulation_binary_1//images//00116_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00116_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00116_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00116_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00116_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00116_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00116_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00116_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00116_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00116_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00117,D:\Github\RGB-S\data\simulation_binary_1//images//00117_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00117_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00117_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00117_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00117_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00117_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00117_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00117_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00117_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00117_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//00118,D:\Github\RGB-S\data\simulation_binary_1//images//00118_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00118_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00118_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00118_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00118_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00118_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00118_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00118_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00118_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00118_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00119,D:\Github\RGB-S\data\simulation_binary_1//images//00119_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00119_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00119_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00119_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00119_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00119_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00119_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00119_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00119_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00119_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//00120,D:\Github\RGB-S\data\simulation_binary_1//images//00120_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00120_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00120_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00120_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00120_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00120_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00120_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00120_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00120_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00120_07.png,0,Test
D:\Github\RGB-S\data\simulation_binary_1//images//00121,D:\Github\RGB-S\data\simulation_binary_1//images//00121_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00121_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00121_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00121_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00121_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00121_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00121_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00121_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00121_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00121_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00122,D:\Github\RGB-S\data\simulation_binary_1//images//00122_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00122_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00122_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00122_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00122_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00122_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00122_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00122_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00122_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00122_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00123,D:\Github\RGB-S\data\simulation_binary_1//images//00123_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00123_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00123_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00123_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00123_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00123_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00123_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00123_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00123_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00123_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00124,D:\Github\RGB-S\data\simulation_binary_1//images//00124_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00124_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00124_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00124_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00124_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00124_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00124_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00124_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00124_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00124_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00125,D:\Github\RGB-S\data\simulation_binary_1//images//00125_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00125_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00125_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00125_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00125_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00125_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00125_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00125_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00125_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00125_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00126,D:\Github\RGB-S\data\simulation_binary_1//images//00126_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00126_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00126_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00126_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00126_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00126_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00126_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00126_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00126_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00126_07.png,0,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//00127,D:\Github\RGB-S\data\simulation_binary_1//images//00127_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00127_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00127_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00127_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00127_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00127_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00127_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00127_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00127_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00127_07.png,0,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00128,D:\Github\RGB-S\data\simulation_binary_1//images//00128_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00128_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00128_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00128_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00128_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00128_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00128_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00128_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00128_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00128_07.png,1,Train
D:\Github\RGB-S\data\simulation_binary_1//images//00129,D:\Github\RGB-S\data\simulation_binary_1//images//00129_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00129_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00129_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00129_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00129_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00129_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00129_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00129_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00129_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00129_07.png,1,Test
D:\Github\RGB-S\data\simulation_binary_1//images//00130,D:\Github\RGB-S\data\simulation_binary_1//images//00130_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00130_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00130_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00130_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00130_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00130_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00130_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00130_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00130_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00130_07.png,1,Validation
D:\Github\RGB-S\data\simulation_binary_1//images//00131,D:\Github\RGB-S\data\simulation_binary_1//images//00131_00_r.png,D:\Github\RGB-S\data\simulation_binary_1//images//00131_00_g.png,D:\Github\RGB-S\data\simulation_binary_1//images//00131_00_b.png,D:\Github\RGB-S\data\simulation_binary_1//images//00131_01.png,D:\Github\RGB-S\data\simulation_binary_1//images//00131_02.png,D:\Github\RGB-S\data\simulation_binary_1//images//00131_03.png,D:\Github\RGB-S\data\simulation_binary_1//images//00131_04.png,D:\Github\RGB-S\data\simulation_binary_1//images//00131_05.png,D:\Github\RGB-S\data\simulation_binary_1//images//00131_06.png,D:\Github\RGB-S\data\simulation_binary_1//images//00131_07.png,1,Train
